Writing output from calling the Triangle Fixing Algorithm
Lambda = 0.5, gamma = 5.0, Etol = 0.1, TriTol = 0.1 
Iteration 126, E changed by 0.232, T-map: 0.2, Obj: 547.975, Last TriCheck = 0.03210675320873041
Iteration 127, E changed by 0.228, T-map: 0.2, Obj: 548.212, Last TriCheck = 0.03210675320873041
Iteration 128, E changed by 0.186, T-map: 0.2, Obj: 548.795, Last TriCheck = 0.03210675320873041
Iteration 129, E changed by 0.214, T-map: 0.2, Obj: 546.962, Last TriCheck = 0.03210675320873041
Iteration 130, E changed by 0.222, T-map: 0.2, Obj: 548.241, Last TriCheck = 0.03210675320873041
Iteration 131, E changed by 0.22, T-map: 0.2, Obj: 548.334, Last TriCheck = 0.03210675320873041
Iteration 132, E changed by 0.184, T-map: 0.2, Obj: 548.96, Last TriCheck = 0.03210675320873041
Iteration 133, E changed by 0.207, T-map: 0.2, Obj: 547.383, Last TriCheck = 0.03210675320873041
Iteration 134, E changed by 0.211, T-map: 0.2, Obj: 548.532, Last TriCheck = 0.03210675320873041
Iteration 135, E changed by 0.211, T-map: 0.2, Obj: 548.4, Last TriCheck = 0.03210675320873041
Iteration 136, E changed by 0.183, T-map: 0.2, Obj: 549.091, Last TriCheck = 0.03210675320873041
Iteration 137, E changed by 0.2, T-map: 0.2, Obj: 547.81, Last TriCheck = 0.03210675320873041
Iteration 138, E changed by 0.2, T-map: 0.2, Obj: 548.829, Last TriCheck = 0.03210675320873041
Iteration 139, E changed by 0.202, T-map: 0.2, Obj: 548.47, Last TriCheck = 0.03210675320873041
Iteration 140, E changed by 0.182, T-map: 0.2, Obj: 549.212, Last TriCheck = 0.03210675320873041
Iteration 141, E changed by 0.195, T-map: 0.2, Obj: 548.176, Last TriCheck = 0.029839160198336212
Iteration 142, E changed by 0.19, T-map: 0.2, Obj: 549.094, Last TriCheck = 0.029839160198336212
Iteration 143, E changed by 0.195, T-map: 0.2, Obj: 548.553, Last TriCheck = 0.029839160198336212
Iteration 144, E changed by 0.181, T-map: 0.2, Obj: 549.335, Last TriCheck = 0.029839160198336212
Iteration 145, E changed by 0.19, T-map: 0.2, Obj: 548.523, Last TriCheck = 0.029839160198336212
Iteration 146, E changed by 0.181, T-map: 0.2, Obj: 549.347, Last TriCheck = 0.029839160198336212
Iteration 147, E changed by 0.189, T-map: 0.2, Obj: 548.624, Last TriCheck = 0.029839160198336212
Iteration 148, E changed by 0.181, T-map: 0.2, Obj: 549.452, Last TriCheck = 0.029839160198336212
Iteration 149, E changed by 0.187, T-map: 0.2, Obj: 548.864, Last TriCheck = 0.029839160198336212
Iteration 150, E changed by 0.173, T-map: 0.2, Obj: 549.593, Last TriCheck = 0.029839160198336212
Iteration 151, E changed by 0.185, T-map: 0.2, Obj: 548.695, Last TriCheck = 0.029839160198336212
Iteration 152, E changed by 0.181, T-map: 0.2, Obj: 549.564, Last TriCheck = 0.029839160198336212
Iteration 153, E changed by 0.185, T-map: 0.2, Obj: 549.147, Last TriCheck = 0.029839160198336212
Iteration 154, E changed by 0.167, T-map: 0.2, Obj: 549.811, Last TriCheck = 0.029839160198336212
Iteration 155, E changed by 0.181, T-map: 0.2, Obj: 548.813, Last TriCheck = 0.029839160198336212
Iteration 156, E changed by 0.18, T-map: 0.2, Obj: 549.693, Last TriCheck = 0.029839160198336212
Iteration 157, E changed by 0.183, T-map: 0.2, Obj: 549.37, Last TriCheck = 0.029839160198336212
Iteration 158, E changed by 0.163, T-map: 0.2, Obj: 549.997, Last TriCheck = 0.029839160198336212
Iteration 159, E changed by 0.178, T-map: 0.2, Obj: 548.965, Last TriCheck = 0.029839160198336212
Iteration 160, E changed by 0.177, T-map: 0.2, Obj: 549.837, Last TriCheck = 0.029839160198336212
Iteration 161, E changed by 0.18, T-map: 0.2, Obj: 549.561, Last TriCheck = 0.027343050194289176
Iteration 162, E changed by 0.16, T-map: 0.2, Obj: 550.164, Last TriCheck = 0.027343050194289176
Iteration 163, E changed by 0.175, T-map: 0.2, Obj: 549.135, Last TriCheck = 0.027343050194289176
Iteration 164, E changed by 0.174, T-map: 0.2, Obj: 549.987, Last TriCheck = 0.027343050194289176
Iteration 165, E changed by 0.177, T-map: 0.2, Obj: 549.725, Last TriCheck = 0.027343050194289176
Iteration 166, E changed by 0.156, T-map: 0.2, Obj: 550.316, Last TriCheck = 0.027343050194289176
Iteration 167, E changed by 0.17, T-map: 0.2, Obj: 549.324, Last TriCheck = 0.027343050194289176
Iteration 168, E changed by 0.17, T-map: 0.3, Obj: 550.143, Last TriCheck = 0.027343050194289176
Iteration 169, E changed by 0.172, T-map: 0.3, Obj: 549.864, Last TriCheck = 0.027343050194289176
Iteration 170, E changed by 0.153, T-map: 0.2, Obj: 550.453, Last TriCheck = 0.027343050194289176
Iteration 171, E changed by 0.166, T-map: 0.2, Obj: 549.534, Last TriCheck = 0.027343050194289176
Iteration 172, E changed by 0.164, T-map: 0.2, Obj: 550.307, Last TriCheck = 0.027343050194289176
Iteration 173, E changed by 0.167, T-map: 0.2, Obj: 549.973, Last TriCheck = 0.027343050194289176
Iteration 174, E changed by 0.151, T-map: 0.2, Obj: 550.573, Last TriCheck = 0.027343050194289176
Iteration 175, E changed by 0.161, T-map: 0.3, Obj: 549.767, Last TriCheck = 0.027343050194289176
Iteration 176, E changed by 0.159, T-map: 0.3, Obj: 550.481, Last TriCheck = 0.027343050194289176
Iteration 177, E changed by 0.162, T-map: 0.2, Obj: 550.051, Last TriCheck = 0.027343050194289176
Iteration 178, E changed by 0.151, T-map: 0.2, Obj: 550.675, Last TriCheck = 0.027343050194289176
Iteration 179, E changed by 0.158, T-map: 0.2, Obj: 550.014, Last TriCheck = 0.027343050194289176
Iteration 180, E changed by 0.153, T-map: 0.2, Obj: 550.663, Last TriCheck = 0.027343050194289176
Iteration 181, E changed by 0.159, T-map: 0.2, Obj: 550.123, Last TriCheck = 0.024547601781445827
Iteration 182, E changed by 0.151, T-map: 0.2, Obj: 550.769, Last TriCheck = 0.024547601781445827
Iteration 183, E changed by 0.157, T-map: 0.2, Obj: 550.228, Last TriCheck = 0.024547601781445827
Iteration 184, E changed by 0.149, T-map: 0.2, Obj: 550.83, Last TriCheck = 0.024547601781445827
Iteration 185, E changed by 0.156, T-map: 0.2, Obj: 550.219, Last TriCheck = 0.024547601781445827
Iteration 186, E changed by 0.15, T-map: 0.2, Obj: 550.871, Last TriCheck = 0.024547601781445827
Iteration 187, E changed by 0.155, T-map: 0.2, Obj: 550.409, Last TriCheck = 0.024547601781445827
Iteration 188, E changed by 0.145, T-map: 0.2, Obj: 550.977, Last TriCheck = 0.024547601781445827
Iteration 189, E changed by 0.153, T-map: 0.3, Obj: 550.323, Last TriCheck = 0.024547601781445827
Iteration 190, E changed by 0.148, T-map: 0.2, Obj: 550.975, Last TriCheck = 0.024547601781445827
Iteration 191, E changed by 0.153, T-map: 0.2, Obj: 550.585, Last TriCheck = 0.024547601781445827
Iteration 192, E changed by 0.142, T-map: 0.3, Obj: 551.119, Last TriCheck = 0.024547601781445827
Iteration 193, E changed by 0.15, T-map: 0.2, Obj: 550.421, Last TriCheck = 0.024547601781445827
Iteration 194, E changed by 0.147, T-map: 0.2, Obj: 551.076, Last TriCheck = 0.024547601781445827
Iteration 195, E changed by 0.151, T-map: 0.2, Obj: 550.757, Last TriCheck = 0.024547601781445827
Iteration 196, E changed by 0.138, T-map: 0.2, Obj: 551.258, Last TriCheck = 0.024547601781445827
Iteration 197, E changed by 0.148, T-map: 0.2, Obj: 550.517, Last TriCheck = 0.024547601781445827
Iteration 198, E changed by 0.146, T-map: 0.2, Obj: 551.175, Last TriCheck = 0.024547601781445827
Iteration 199, E changed by 0.148, T-map: 0.2, Obj: 550.918, Last TriCheck = 0.024547601781445827
Iteration 200, E changed by 0.135, T-map: 0.2, Obj: 551.389, Last TriCheck = 0.024547601781445827
Iteration 201, E changed by 0.145, T-map: 0.2, Obj: 550.618, Last TriCheck = 0.022401443515066566
Iteration 202, E changed by 0.144, T-map: 0.2, Obj: 551.274, Last TriCheck = 0.022401443515066566
Iteration 203, E changed by 0.146, T-map: 0.2, Obj: 551.065, Last TriCheck = 0.022401443515066566
Iteration 204, E changed by 0.132, T-map: 0.2, Obj: 551.512, Last TriCheck = 0.022401443515066566
Iteration 205, E changed by 0.142, T-map: 0.2, Obj: 550.726, Last TriCheck = 0.022401443515066566
Iteration 206, E changed by 0.142, T-map: 0.2, Obj: 551.374, Last TriCheck = 0.022401443515066566
Iteration 207, E changed by 0.144, T-map: 0.2, Obj: 551.197, Last TriCheck = 0.022401443515066566
Iteration 208, E changed by 0.129, T-map: 0.2, Obj: 551.626, Last TriCheck = 0.022401443515066566
Iteration 209, E changed by 0.14, T-map: 0.2, Obj: 550.842, Last TriCheck = 0.022401443515066566
Iteration 210, E changed by 0.14, T-map: 0.2, Obj: 551.476, Last TriCheck = 0.022401443515066566
Iteration 211, E changed by 0.142, T-map: 0.2, Obj: 551.314, Last TriCheck = 0.022401443515066566
Iteration 212, E changed by 0.127, T-map: 0.2, Obj: 551.73, Last TriCheck = 0.022401443515066566
Iteration 213, E changed by 0.138, T-map: 0.2, Obj: 550.964, Last TriCheck = 0.022401443515066566
Iteration 214, E changed by 0.138, T-map: 0.2, Obj: 551.581, Last TriCheck = 0.022401443515066566
Iteration 215, E changed by 0.139, T-map: 0.2, Obj: 551.42, Last TriCheck = 0.022401443515066566
Iteration 216, E changed by 0.125, T-map: 0.2, Obj: 551.828, Last TriCheck = 0.022401443515066566
Iteration 217, E changed by 0.136, T-map: 0.2, Obj: 551.088, Last TriCheck = 0.022401443515066566
Iteration 218, E changed by 0.135, T-map: 0.2, Obj: 551.685, Last TriCheck = 0.022401443515066566
Iteration 219, E changed by 0.137, T-map: 0.2, Obj: 551.52, Last TriCheck = 0.022401443515066566
Iteration 220, E changed by 0.124, T-map: 0.2, Obj: 551.92, Last TriCheck = 0.022401443515066566
Iteration 221, E changed by 0.133, T-map: 0.2, Obj: 551.211, Last TriCheck = 0.020709745479217945
Iteration 222, E changed by 0.133, T-map: 0.2, Obj: 551.788, Last TriCheck = 0.020709745479217945
Iteration 223, E changed by 0.135, T-map: 0.2, Obj: 551.615, Last TriCheck = 0.020709745479217945
Iteration 224, E changed by 0.122, T-map: 0.2, Obj: 552.009, Last TriCheck = 0.020709745479217945
Iteration 225, E changed by 0.131, T-map: 0.2, Obj: 551.332, Last TriCheck = 0.020709745479217945
Iteration 226, E changed by 0.131, T-map: 0.2, Obj: 551.889, Last TriCheck = 0.020709745479217945
Iteration 227, E changed by 0.133, T-map: 0.2, Obj: 551.707, Last TriCheck = 0.020709745479217945
Iteration 228, E changed by 0.121, T-map: 0.2, Obj: 552.096, Last TriCheck = 0.020709745479217945
Iteration 229, E changed by 0.13, T-map: 0.2, Obj: 551.45, Last TriCheck = 0.020709745479217945
Iteration 230, E changed by 0.128, T-map: 0.2, Obj: 551.987, Last TriCheck = 0.020709745479217945
Iteration 231, E changed by 0.131, T-map: 0.2, Obj: 551.796, Last TriCheck = 0.020709745479217945
Iteration 232, E changed by 0.119, T-map: 0.2, Obj: 552.179, Last TriCheck = 0.020709745479217945
Iteration 233, E changed by 0.128, T-map: 0.2, Obj: 551.564, Last TriCheck = 0.020709745479217945
Iteration 234, E changed by 0.126, T-map: 0.2, Obj: 552.083, Last TriCheck = 0.020709745479217945
Iteration 235, E changed by 0.129, T-map: 0.2, Obj: 551.884, Last TriCheck = 0.020709745479217945
Iteration 236, E changed by 0.118, T-map: 0.2, Obj: 552.261, Last TriCheck = 0.020709745479217945
Iteration 237, E changed by 0.126, T-map: 0.2, Obj: 551.675, Last TriCheck = 0.020709745479217945
Iteration 238, E changed by 0.124, T-map: 0.2, Obj: 552.176, Last TriCheck = 0.020709745479217945
Iteration 239, E changed by 0.127, T-map: 0.2, Obj: 551.971, Last TriCheck = 0.020709745479217945
Iteration 240, E changed by 0.116, T-map: 0.2, Obj: 552.341, Last TriCheck = 0.020709745479217945
Iteration 241, E changed by 0.124, T-map: 0.2, Obj: 551.781, Last TriCheck = 0.0192887526090329
Iteration 242, E changed by 0.122, T-map: 0.2, Obj: 552.265, Last TriCheck = 0.0192887526090329
